Food group;NEVO-code;Engelse naam/Food name;Hoeveelheid/Quantity;Opmerking;Bevat sporen van/Contains traces of;Is verrijkt met/Is fortified with;ENERCJ (kJ);ENERCC (kcal);WATER (g);PROT (g);PROTPL (g);PROTAN (g);NT (g);TRP (mg);FAT (g);FACID (g);FASAT (g);FAMSCIS (g);FAPU (g);FAPUN3 (g);FAPUN6 (g);FATRS (g);CHO (g);SUGAR (g);STARCH (g);POLYL (g);FIBT (g);ALC (g);OA (g);ASH (g);CHORL (mg);NA (mg);K (mg);CA (mg);P (mg);MG (mg);FE (mg);HAEM (mg);NHAEM (mg);CU (mg);SE (µg);ZN (mg);ID (µg);VITA_RAE (µg);VITA_RE (µg);RETOL (µg);CARTBTOT (µg);CARTA (µg);LUTN (µg);ZEA (µg);CRYPXB (µg);LYCPN (µg);VITD (µg);CHOCALOH (µg);CHOCAL (µg);ERGCAL (µg);VITE (mg);TOCPHA (mg);TOCPHB (mg);TOCPHD (mg);TOCPHG (mg);VITK (µg);VITK1 (µg);VITK2 (µg);THIA (mg);RIBF (mg);VITB6 (mg);VITB12 (µg);NIAEQ (mg);NIA (mg);FOL (µg);FOLFD (µg);FOLAC (µg);VITC (mg);F4:0 (g);F6:0 (g);F8:0 (g);F10:0 (g);F11:0 (g);F12:0 (g);F13:0 (g);F14:0 (g);F15:0 (g);F16:0 (g);F17:0 (g);F18:0 (g);F19:0 (g);F20:0 (g);F21:0 (g);F22:0 (g);F23:0 (g);F24:0 (g);F25:0 (g);F26:0 (g);FASATXR (g);F10:1CIS (g);F12:1CIS (g);F14:1CIS (g);F16:1CIS (g);F18:1CIS (g);F20:1CIS (g);F22:1CIS (g);F24:1CIS (g);FAMSCXR (g);F18:2CN6 (g);F18:2CN9 (g);F18:2CT (g);F18:2TC (g);F18:2R (g);F18:3CN3 (g);F18:3CN6 (g);F18:4CN3 (g);F20:2CN6 (g);F20:3CN9 (g);F20:3CN6 (g);F20:3CN3 (g);F20:4CN6 (g);F20:4CN3 (g);F20:5CN3 (g);F21:5CN3 (g);F22:2CN6 (g);F22:2CN3 (g);F22:3CN3 (g);F22:4CN6 (g);F22:5CN6 (g);F22:5CN3 (g);F22:6CN3 (g);F24:2CN6 (g);FAPUXR (g);F10:1TRS (g);F12:1TRS (g);F14:1TRS (g);F16:1TRS (g);F18:1TRS (g);F18:2TTN6 (g);F18:3TTTN3 (g);F20:1TRS (g);F20:2TT (g);F22:1TRS (g);F24:1TRS (g);FAMSTXR (g);FAUN (g);cleaned_name;nutrition_index;flavour_index;flavour_name
Potatoes and tubers;1;potatoes raw;per 100g;;;;371;88;77;2;2;0;;;0;0;0;0;0;0;0;0;19;1;18;0;1,8;0;;;0.0;2.0;450.0;6.0;60.0;22.0;0,5;0;0,5;0,09;1.0;0,37;2,5;1.0;1.0;0.0;5.0;0.0;100.0;16.0;3.0;0.0;0;0;0;0;0,1;;;;;;;;0,12;0,04;0,3;0;;1,2;23;23;0;14.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0;0.0;0;0.0;0;;potatoes;0;373.0;potato
Potatoes and tubers;2;potatoes new raw;per 100g;;;;371;88;77;2;2;0;;;0;0;0;0;0;0;0;0;19;1;18;0;1,8;0;;;0.0;2.0;450.0;6.0;60.0;14.0;0,5;0;0,5;0,09;1.0;0,2;2,5;0.0;0.0;0.0;3.0;0.0;13.0;4.0;0.0;0.0;0;0;0;0;0,1;;;;;;;;0,12;0,04;0,3;0;;1,2;23;23;0;25.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0;0.0;0;0.0;0;;potatoes new;1;373.0;potato
Potatoes and tubers;3;potatoes old raw;per 100g;;CARTA;;371;88;77;2;2;0;;;0;0;0;0;0;0;0;0;19;1;18;0;1,8;0;;;0.0;2.0;450.0;6.0;60.0;17.0;0,5;0;0,5;0,08;1.0;0,3;2,5;1.0;1.0;0.0;8.0;0.0;60.0;;;0.0;0;0;0;0;0,1;;;;;;;;0,12;0,04;0,22;0;;1,2;23;23;0;5.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0;0.0;0;0.0;0;;potatoes old;2;373.0;potato
Cereals and cereal products;4;pasta white raw;per 100g;;VITE;;1511;356;10;12,3;12,3;0;;;1,5;1;0,2;0,2;0,6;0;0,6;0;72;1;71;0;3;0;;;0.0;2.0;100.0;15.0;125.0;53.0;2;0;2;0,3;5.0;1,5;0,6;0.0;0.0;0.0;0.0;;;;;;0;0;0;0;0;0;0;0;0;0,2;0,2;;0,1;0,06;0,08;0;;2;11;11;0;0.0;0;0;0;0;0;0;0;0;0;0,19;0;0,01;0;0,01;0;0;0;0;0.0;0.0;0;0;0;0;0;0,15;0;0;0;0;0,61;0;0;0;0;0,04;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0;0.0;0;0.0;0;;pasta;3;484.0;pasta
Cereals and cereal products;5;rice white raw;per 100g;;F14:0, F16:1CIS, F20:0, FAPUXR;;1492;352;13;7;7;0;;;1;0,9;0,2;0,3;0,4;0;0,4;0;78;0;78;0;1,3;0;;;0.0;2.0;100.0;10.0;100.0;13.0;0,4;0;0,4;0,37;13.0;1,8;2,2;0.0;0.0;0.0;0.0;;;;;;0;0;0;0;0,1;;;;;0,1;0,1;;0,04;0,03;0,12;0;;1;20;20;0;0.0;0;0;0;0;;0;;0;0;0,21;0;0,02;;0;;0;;0;;;;;;0;0;0,26;0;0;;0;0,36;;;;;0;;0;0;;;;;;0;;;;0;0;;;0;;0;;;;;;;;;;;;;;rice;4;55.0;rice
Vegetables;7;endive raw;per 100g;;;;68;16;95,1;1,5;1,5;0;;15.0;0,3;0,2;0;0;0,2;0,1;0;0;1;1;0;0;1,7;0;;0,7;0.0;29.0;253.0;54.0;36.0;11.0;1,2;0;1,2;0,05;1.0;0,55;6,4;76.0;151.0;0.0;905.0;3.0;1516.0;4.0;0.0;16.0;0;0;0;0;0,3;0,3;0;0;0,4;231;231;;0,05;0,06;0,057;0;0,6;0,4;35,2;35,2;0;1.0;0;0;0;0;0;0;0;0;0;0,04;0;0,01;;0;0;0;0;0;;;;;;0;0;0,01;0;0;0;0;0,05;;;;;0,12;0;;0;;0;0;0;;0;;0;0.0;;;;;0;;;;;0;0;0;;;0;;0;0.0;;;endive;5;344.0;endive
Vegetables;8;endive boiled;per 100g;;;;93;22;93,5;1,4;1,4;0;;3.0;0,5;0,3;0,1;0;0,2;0,2;0,1;0;2,3;1,6;0,7;0;1,7;0;;0,7;0.0;5.0;163.0;60.0;25.0;9.0;0,5;0;0,5;0,06;0.0;0,27;6,4;189.0;377.0;0.0;2240.0;8.0;2926.0;6.0;39.0;26.0;0;0;0;0;0,8;0,6;0;0;1,2;337;337;;0,05;0,06;0,081;0;0,5;0,5;45;45;0;1.0;0;0;0;0;0;0;0;0;0;0,05;0;0,01;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0;0,01;0;0;0;0;0,07;0;0;0;0;0,18;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0;0.0;0;0.0;0;0;endive;6;344.0;endive
Vegetables;9;asparagus white raw;per 100g;;;;93;22;94;1;1;0;;;0,3;0,3;0,1;0;0,2;0;0,2;0;3;1;2;0;1,7;0;;;0.0;1.0;200.0;20.0;60.0;20.0;1;0;1;0,08;1.0;0,5;0,2;0.0;0.0;0.0;1.0;1.0;25.0;0.0;0.0;0.0;0;0;0;0;1,2;;;;;41,6;41,6;;0,1;0,07;0,03;0;;0,6;175;175;0;30.0;0;0;0;0;0;0;0;0;0;0,09;0;0;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0;0,01;0;0;0;0;0,19;0;0;0;0;0,02;0;0;0;0.0;0;0;0;0;0;;0;0.0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;;0;0.0;0;0.0;0;0;asparagus;7;371.0;asparagus
Vegetables;10;aubergine/eggplant raw;per 100g;;;;84;20;93;1;1;0;;;0;0;0;0;0;0;0;0;3;3;0;0;2;0;;;0.0;2.0;200.0;10.0;12.0;11.0;0,5;0;0,5;0,01;0.0;0,2;1;6.0;12.0;0.0;40.0;60.0;;;0.0;;0;0;0;0;0;;;;;6,1;6,1;;0,04;0,05;0,07;0;;0,6;18;18;0;10.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;;0;0.0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;;0;0.0;0;0.0;0;0;aubergine/eggplant;8;23.0;eggplant
Vegetables;11;aubergine/eggplant boiled;per 100g;;;;88;21;93;1;1;0;;;0;0;0;0;0;0;0;0;3;3;0;0;2,5;0;;;0.0;10.0;200.0;10.0;12.0;8.0;0,5;0;0,5;0,01;1.0;0,1;1,2;6.0;12.0;0.0;40.0;60.0;;;0.0;;0;0;0;0;0;;;;;6,1;6,1;;0,04;0,05;0,06;0;;0,6;5;5;0;4.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;;0;0.0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;;0;0.0;0;0.0;0;0;aubergine/eggplant;9;23.0;eggplant
